signature_symbol signature_score signature_direction
TMPRSS3 16.9581137687705 Up
GAA 16.892634274298 Up
BMP2 16.6499101045994 Up
LINC00659 16.6487258740899 Up
NR4A3 16.5684867845077 Up
HS3ST3A1 16.5414881338089 Up
PLTP 16.4418830040249 Up
IFIT1 16.4197016349897 Up
WDR17 16.4109809087123 Up
ELOVL3 16.3827907986501 Up
FBN1 16.3814884336745 Up
STEAP4 16.3559407231138 Up
GAS6 16.3432648477834 Up
GPHN 16.3073091157879 Up
CHDH 16.2984114363823 Up
CA12 16.284726692882 Up
MAGI3 16.2551392026101 Up
CHI3L1 16.2411778343433 Up
LINC00639 16.184334547293 Up
CEBPD 16.1319822333683 Up
KCNK2 16.1314162331115 Up
DLX5 16.087480011393 Up
SEMA3F 15.9394207701847 Up
TPST1 15.8294724744307 Up
PLD1 15.8046987250514 Up
GTF2IRD1 15.8007202629015 Up
LINC01220 15.6178663866193 Up
SLIT2 15.5771089103007 Up
QRFPR 15.5254434650106 Up
STOM 15.5105666567346 Up
MOCOS 15.4740474073491 Up
NR4A2 15.3864694428462 Up
ARID5B 15.2736586312812 Up
MCTP1 15.1863021609319 Up
IL17RB 15.1629898698155 Up
HIPK2 14.9483652647273 Up
ANGPT1 14.8390308229777 Up
MCTP2 14.8057992436552 Up
ZADH2 14.7401254144107 Up
ZRANB3 14.6510206026933 Up
ADGRL1 14.6354360394104 Up
ZNF608 14.4907508281351 Up
TCF4 14.4273460168955 Up
DLG5 14.3382070155183 Up
ACKR3 14.275243184439 Up
BMP5 14.2496674278901 Up
DSC3 14.2318377367138 Up
PID1 14.2241307628662 Up
C6orf52 14.1827480275994 Up
CLGN 14.1598941074147 Up
PAM 14.1506082920081 Up
MTR 14.1415628325905 Up
NUPR1 14.1091587965587 Up
TIMP3 14.0973996935864 Up
LINC00473 14.0740198010863 Up
PHF20 14.0608307629626 Up
CYP4X1 13.9922909776077 Up
ASAP3 13.9776274221327 Up
TGFBR1 13.953543222247 Up
LHX2 13.9503916330383 Up
DCAKD 13.7837595440123 Up
RB1 13.748644786917 Up
RORC 13.6893330820416 Up
HERC5 13.6833728634819 Up
CRISPLD1 13.6747434872939 Up
DAPK1 13.6675895477947 Up
NOL4 13.6619623855477 Up
SDCCAG8 13.5734044751635 Up
MUC1 13.5592778711089 Up
USP13 13.5302239716953 Up
ARRDC3 13.5279211507427 Up
XRN1 13.5174621023092 Up
SLC39A8 13.4926450877338 Up
IMPACT 13.4600821867675 Up
IL20RB 13.4282791933982 Up
EIF1AX 13.4011989682063 Up
ITGB8 13.3781487975694 Up
LOX 13.3207686580137 Up
TCP11L2 13.3150614444823 Up
SMARCA2 13.3107296559826 Up
NIPSNAP1 13.305012535313 Up
NUP133 13.2755021572567 Up
PTPRN 13.2459800136442 Up
LINC01137 13.2062775960299 Up
HIST3H2BB 13.1976086120824 Up
AHNAK2 13.1763043368839 Up
ID4 13.1606457153075 Up
TMEM143 13.1405730498119 Up
FZD1 13.1345172708497 Up
PIK3R1 13.1246900070526 Up
SPPL2B 13.1066569934757 Up
MX1 13.0840322569262 Up
PLSCR4 13.0338916393977 Up
KLF9 13.0264378037718 Up
MIR3689D2 13.0164705970192 Up
RNA5SP399 12.9649362789799 Up
CEP97 12.9291791203183 Up
RNF187 12.9262645666317 Up
PHLPP1 12.8247284329591 Up
SERPINB3 12.8189363477153 Up
C8orf37 12.8031050794774 Up
CYFIP2 12.7654542682152 Up
IRS2 12.7504593904844 Up
CPT2 12.7269988549251 Up
CCDC69 12.7102062574108 Up
QPCTL 12.6709435489091 Up
TMTC1 12.6698628084331 Up
KIF20B 12.5889508991638 Up
H6PD 12.5755914587453 Up
BTBD2 12.5698686164841 Up
PELI1 12.5637765829841 Up
ADPRHL1 12.542458122268 Up
TMEM187 12.4978425703202 Up
PTPN13 12.4860524445414 Up
RHOT1 12.4448230245745 Up
TPRG1-AS1 12.4234858449207 Up
SPIRE1 12.4159046354675 Up
CACNA2D1 12.3439175441171 Up
PNRC1 12.3396816749613 Up
AKT3 12.3142824402047 Up
TKFC 12.2859477792162 Up
SEMA6B 12.2148767172093 Up
FBXL20 12.214407815698 Up
IFIT2 12.181327575832 Up
RNU5E-1 12.1249280991482 Up
IPP 12.0962634881155 Up
RNF168 12.0731319416893 Up
MAP7 12.0538299484015 Up
RNF145 12.050236276408 Up
LPCAT1 12.0434875926575 Up
MEFV 12.0401540746247 Up
ARSJ 12.0132506447324 Up
HLTF 11.9975477899709 Up
EVA1C 11.9850278031011 Up
CWH43 11.9821933297076 Up
MAP2 11.9786684617701 Up
NUP210 11.9730953770004 Up
CXADR 11.9543900901552 Up
MAGEF1 11.924314119697 Up
RNA5SP99 11.9237275896328 Up
JUNB 11.8463940107677 Up
CPS1 11.8447926888901 Up
FAM46B 11.7847628826985 Up
COPG2 11.7847118314854 Up
NNT 11.7348030652159 Up
PAN2 11.7241552948455 Up
ALDH6A1 11.6989427594 Up
OBFC1 11.6814067114476 Up
CDH13 11.6732971663887 Up
FOXRED2 11.6437147830074 Up
CD22 11.6333326449968 Up
OGDH 11.6231228426912 Up
SLC6A15 11.6168940269074 Up
BCAS3 11.6003276742255 Up
COL4A5 11.5616086107079 Up
NAV2 11.5318154072505 Up
GNAI1 11.5294800474989 Up
NAV2-AS2 11.5212611636998 Up
C16orf74 11.5118178844435 Up
CDK14 11.4890830182876 Up
PHF7 11.4681070513299 Up
NOV 11.4668966938899 Up
PLCB1 11.4394384197987 Up
IL15 11.4203514577307 Up
EEF2K 11.4190836918954 Up
CEBPG 11.418610445604 Up
SIAE 11.3612454593507 Up
HADH 11.3447707004641 Up
FAM135A 11.3351945104433 Up
KIZ 11.2939762816555 Up
ROBO1 11.2881860840802 Up
PLXND1 11.2861433225792 Up
PPM1K 11.2789656164897 Up
CCSAP 11.2660363341676 Up
SMAD6 11.2573848980431 Up
TFPI2 11.2494578785695 Up
LYRM7 11.2417692540653 Up
CENPJ 11.2331584237063 Up
HMCN1 11.2242913014803 Up
ASIC1 11.2216079484108 Up
KBTBD6 11.2183472324135 Up
RNU5D-1 11.2124655115916 Up
MME 11.2078976614184 Up
DOCK4 11.1994085179234 Up
THRA 11.1821647371446 Up
SNAI1 11.1814246123454 Up
IRX3 11.1513041550253 Up
PC 11.1499852568009 Up
PEG10 11.1497153870489 Up
DNM1 11.1292120000696 Up
KLHL24 11.1168805492617 Up
TFCP2L1 11.1119631862005 Up
MAP3K5 11.0936251189597 Up
ITPR1 11.0766886132614 Up
COL12A1 11.0659568965837 Up
OAS1 11.0573898971047 Up
PNPLA4 11.0530799704821 Up
R3HDM2 11.015464971269 Up
DIXDC1 11.0140046629498 Up
ASPM 10.9942145005594 Up
CYBRD1 10.953164936452 Up
AGA 10.9397877934894 Up
CTH 10.9179110889728 Up
IFI27 10.8972543455595 Up
NFIC 10.8803415879286 Up
PIGK 10.8663195198928 Up
KRCC1 10.8610716712665 Up
SERPINE2 10.8514433092937 Up
RTTN 10.8327739419039 Up
OMD 10.8224036169414 Up
KDSR 10.8201519727456 Up
LTBP1 10.8074897943645 Up
SGK1 10.8062176650211 Up
KIAA0586 10.7729760279184 Up
C5 10.7663075376252 Up
PTPRS 10.7556885883945 Up
SCMH1 10.7522285794273 Up
SOCS6 10.7499507875495 Up
OASL 10.7271514654083 Up
ETV5 10.72608014112 Up
LMBRD1 10.7030698094225 Up
SLC38A6 10.6850481202607 Up
FAM71E1 10.6790847167646 Up
RHOBTB3 10.667763329832 Up
ARHGAP31 10.6542980294376 Up
DSEL 10.6538034587048 Up
IFI16 10.6457984745737 Up
MYO9A 10.6374067632258 Up
AASDH 10.6277713755903 Up
GOLIM4 10.6255980810484 Up
GALNT13 10.6176618741844 Up
PRSS12 10.5728564164067 Up
DENND5B 10.5675177736239 Up
ENTPD2 10.5598423068094 Up
CBX4 10.5361154589737 Up
TMC7 10.5314369573066 Up
C19orf38 10.5260245021764 Up
PROM2 10.4803178650162 Up
BAMBI 10.47688909679 Up
SMARCD2 10.4672918725998 Up
RAB31 10.3876416889119 Up
ATP1B1 10.3747483073764 Up
ATP2B1 10.336469407544 Up
DSG3 10.3361770033657 Up
MLLT3 10.3315990798013 Up
EXPH5 10.3260954243615 Up
FLRT3 10.2804459706252 Up
PCSK1 10.2702049915412 Up
UNC5C 10.2677590039913 Up
SNX27 10.2293743631747 Up
KDM7A 10.2216279746057 Up
CYP4V2 10.2134352107214 Up
ID1 10.2021903102123 Up
UBXN7 10.186106266826 Up
MCCC1 10.1787175190136 Up
