signature_symbol signature_score signature_direction
FDX1 10.2083436431609 Up
KDELC2 10.1812939692288 Up
TTLL1 10.1307609231542 Up
C19orf54 10.1098857465485 Up
ADGRL1 10.0973048625158 Up
NEO1 10.0758959212612 Up
CLEC2B 10.0636277975483 Up
FAM102B 10.0374122848999 Up
SIAE 10.0013064942232 Up
DHX40 10.0002447118191 Up
PTPN13 9.98647581499522 Up
PSAT1P3 9.9714555934134 Up
PECR 9.96393923151664 Up
SLC1A1 9.91922229744178 Up
ITGA6 9.9061028662068 Up
DPYD 9.88976855272854 Up
RNF187 9.84851242198413 Up
PORCN 9.84397279692392 Up
SLITRK6 9.81837840659533 Up
WNT5A 9.78771162981051 Up
PC 9.77964333569739 Up
BCL11A 9.76628792048144 Up
MAN1B1-AS1 9.75833046561883 Up
ST6GALNAC2 9.72239327618093 Up
SLC6A9 9.68440031396285 Up
SLC25A12 9.66329707792444 Up
FGFBP1 9.65735209617301 Up
EEF2K 9.62772470680475 Up
EIF1AX 9.62715465266412 Up
BMP2 9.61119740668452 Up
B4GALT1 9.55038903560099 Up
ASNS 9.50879860929617 Up
ELOVL3 9.50539339601015 Up
KCNJ15 9.49462867920166 Up
GLTSCR1L 9.47169115985327 Up
MUT 9.46651778284992 Up
EPB41L1 9.43998318102464 Up
SIN3A 9.40834694540424 Up
NEMP2 9.3715581209662 Up
MAP2K5 9.32700492216264 Up
PTPRO 9.32631547876284 Up
KBTBD6 9.25512906363318 Up
ROBO1 9.25386528338509 Up
ARL4D 9.24811338005839 Up
RMI1 9.24680106411862 Up
TMEM187 9.23441442231096 Up
LINC00963 9.20708991728095 Up
RAB40B 9.18716019523073 Up
CNTD1 9.185788876249 Up
RNU5E-1 9.1802189359728 Up
TBC1D16 9.17535862287516 Up
KLHL24 9.17448619191619 Up
RNA5SP132 9.17148562471027 Up
CDKN2C 9.16724590354893 Up
PTPRN 9.1631860238715 Up
DOCK11 9.15259288267776 Up
C8orf37 9.14816364118667 Up
CDK19 9.14779221664221 Up
PTGES 9.14325528820132 Up
ABHD17C 9.14249100857976 Up
DRAIC 9.13373395573737 Up
TXNRD3 9.12885986538494 Up
PNRC1 9.12594963411251 Up
KIF21B 9.08416475668655 Up
NEK9 9.07570609008946 Up
ARID5B 9.02521506944949 Up
HSPA1L 9.01791256520545 Up
C16orf74 8.97801967000937 Up
CYB5D2 8.97086077496518 Up
LOX 8.96450648125731 Up
MPI 8.948370683741 Up
SMOX 8.91774698824008 Up
KIZ 8.90070137597566 Up
CEP97 8.88732055335901 Up
MSLN 8.82550442941444 Up
SPINK6 8.77630021156971 Up
SRPX 8.77390792532572 Up
PITPNM1 8.77314118041983 Up
ANXA8 8.75759769662398 Up
PITPNM3 8.74124140814838 Up
LINC01133 8.70213308063564 Up
NR4A2 8.67882046833248 Up
ZNF608 8.6419881011533 Up
DHRS3 8.63272841698055 Up
SLC6A15 8.61762412091612 Up
KLHDC2 8.61121714106976 Up
PEX7 8.60317499242457 Up
TNNT1 8.59293674412964 Up
RBBP9 8.5876375104779 Up
P3H2 8.57584184563355 Up
OSBPL6 8.5694272090295 Up
ZRANB3 8.54580301371708 Up
ARHGEF9 8.54071427329735 Up
PCK2 8.4650731565613 Up
DBP 8.43884203177547 Up
UNC5B 8.43260500870895 Up
SEPSECS 8.42049982764413 Up
LIFR 8.41197812392395 Up
OTUD1 8.41100874576192 Up
PHF21A 8.40491058803038 Up
NUDT7 8.39657897901324 Up
SLC39A8 8.3571255767673 Up
TCN1 8.35274511540219 Up
SLC43A1 8.35218071179095 Up
CRISPLD1 8.35094960535723 Up
